OBJECTID,GEOID,STATE,COUNTY,TRACT,HCV_PUBLIC,HCV_PUBLIC_PCT,Shape__Area,Shape__Length
5496,12011042600,12,011,042600,165,10.35000038,2798604.5859375,9456.40789378628
5497,12009061001,12,009,061001,17,2.91000009,5035730.73632813,11029.944747315
5498,22099020502,22,099,020502,52,11.89999962,17467435.2539063,19625.4312865881
5499,22033000200,22,033,000200,161,10.26000023,5261153.6328125,10915.1747071014
5500,22121020100,22,121,020100,54,9.43999958,7225468.703125,12109.2177146997
5504,22121020401,22,121,020401,15,3.55999994,62802500.4375,57746.0319383434
5505,12011091400,12,011,091400,55,8.11999989,3054126.4375,8867.18224226519
5506,12011020210,12,011,020210,34,11.44999981,3331431.27148438,8531.11143295564
5507,22033004011,22,033,004011,78,6.09000015,25485626.234375,20899.0831964436
5511,12011060125,12,011,060125,15,15.31000042,1639636.4765625,5619.95278281243
5517,12031012100,12,031,012100,12,4.4000001,9973942.79492188,19172.4825502635
5518,12011050206,12,011,050206,15,1.74000001,3646039.96289063,11493.096255324
5520,22051026700,22,051,026700,15,7.61000013,2818026.4765625,8375.61963316861
5522,22051027703,22,051,027703,110,29.40999985,1983986.9453125,6522.59923096564
5523,22051020502,22,051,020502,105,11.30000019,3859326.703125,11668.4783644118
5526,22033003505,22,033,003505,60,10.43000031,10728990.2578125,14046.4454852087
5527,22033004015,22,033,004015,107,5.4000001,5621354.8515625,11638.7141697593
5529,22071013600,22,071,013600,29,12.65999985,396756.865234375,2541.04886439196
5531,22071001701,22,071,001701,85,75.88999939,3464230.68554688,7488.09122646437
5533,22071013700,22,071,013700,360,100,7127582.2734375,10733.4116604094
5534,22071000601,22,071,000601,103,45.36999893,652974.052734375,3400.67527677772
5536,22071009600,22,071,009600,13,3.61999989,460225.7734375,2787.88489894186
5538,22071003500,22,071,003500,98,30.71999931,405479.7734375,2703.33134099692
5540,12081001403,12,081,001403,15,3.4000001,7618424.55078125,12133.2706701411
5541,22051027601,22,051,027601,83,29.75,35778640.640625,30912.6309536509
5542,22051021700,22,051,021700,23,2.69000006,2883308.71679688,7707.00273197553
5544,48215021404,48,215,021404,37,3.67000008,16514967.5136719,19965.9547033284
5545,48215020802,48,215,020802,95,7.94999981,4729713.24804688,8906.15793966848
5546,22033001800,22,033,001800,32,4.48999977,2503600.96875,7677.07382745928
5547,22033003805,22,033,003805,74,7.46000004,10927582.7851563,13757.2104951912
5548,01097006901,01,097,006901,92,7.69999981,23328537.5117188,21116.9837629832
5549,01097007101,01,097,007101,11,2.77999997,20577127.6503906,20076.4310095404
5550,22071012800,22,071,012800,12,2.43000007,773942.501953125,4078.06694068669
5551,22071003000,22,071,003000,170,69.66999817,496055.58984375,2870.42888848211
5555,12031015600,12,031,015600,31,5.09000015,7105282.63085938,11819.2916070314
5557,22055001406,22,055,001406,102,6.51000023,9495915.80859375,15858.5165812002
5560,22071013800,22,071,013800,226,100,1223853.42382813,4740.88657651052
5562,22033000702,22,033,000702,24,2.99000001,3460914.7265625,8810.23169593839
5563,22033003504,22,033,003504,150,29.40999985,5844529.49609375,11586.7927754374
5564,12031013504,12,031,013504,86,12.53999996,4678022.04882813,9045.80478452911
5567,48215020600,48,215,020600,42,10.44999981,1216496.41992188,4884.06928755683
5568,22095070400,22,095,070400,18,7.19999981,5523575.35546875,9984.02649010815
5569,22033000900,22,033,000900,69,8.85000038,2919778.6875,7142.00003018363
5572,22071001739,22,071,001739,101,69.18000031,1295665.66992188,4663.53743896844
5573,22033002500,22,033,002500,24,2.26999998,1832563.8828125,5508.00402753024
